station_id;hardware;board_id
0000BF80;TAPMV4.0;77SL3800156
0000BF1C;TAPMV4.0;77SL3800332
0000BF93;TAPMV4.0;77SL3800161
0000BF82;TAPMV4.0;77SL3800154
0000BF8E;TAPMV4.0;77SL3800166
0000BF8F;TAPMV4.0;77SL3800165
0000BF89;TAPMV4.0;77SL3800147
0000BF6F;TAPMV4.0;77SL3800320
0000BF85;TAPMV4.0;77SL3800151
0000C055;TAPMV4.0;77SL4800008
0000C04B;TAPMV4.0;77SL4800206
0000BFE8;TAPMV4.0;77SL4800194
0000BFA1;TAPMV4.0;77SL4800149
0000C041;TAPMV4.0;77SL4800049
0000BFE7;TAPMV4.0;77SL4800193
0000C060;TAPMV4.0;77SL4800072
0000C04D;TAPMV4.0;77SL4800204
0000BF18;TAPMV4.0;77SL3800312
0000BF5C;TAPMV4.0;77SL3800140
0000C01F;TAPMV4.0;77SL4800178
0000C013;TAPMV4.0;77SL4800171
0000C010;TAPMV4.0;77SL4800163
0000C05C;TAPMV4.0;77SL4800076
0000BF47;TAPMV4.0;77SL3800301
0000BF55;TAPMV4.0;77SL3800284
0000BF24;TAPMV4.0;77SL3800324
0000BF5F;TAPMV4.0;77SL3800143
0000BFBD;TAPMV4.0;77SL4800151
0000C02C;TAPMV4.0;77SL4800208
0000BFC5;TAPMV4.0;77SL4800017
0000BFC9;TAPMV4.0;77SL4800132
0000BFE1;TAPMV4.0;77SL4800143
0000BF6B;TAPMV4.0;77SL3800117
0000BF94;TAPMV4.0;77SL3800160
0000BF34;TAPMV4.0;77SL3800333
0000C06F;TAPMV4.0;77SL4800062
0000C058;TAPMV4.0;77SL4800080
0000BFAF;TAPMV4.0;77SL4800106
0000BFB2;TAPMV4.0;77SL4800102
0000BFC2;TAPMV4.0;77SL4800014
0000BF49;TAPMV4.0;77SL3800299
0000BF2B;TAPMV4.0;77SL3800342
0000BF41;TAPMV4.0;77SL3800126
0000BF1F;TAPMV4.0;77SL3800316
0000BF3C;TAPMV4.0;77SL3800132
0000BF39;TAPMV4.0;77SL3800346
0000BFD3;TAPMV4.0;77SL4800115
0000C00E;TAPMV4.0;77SL4800165
0000BF2A;TAPMV4.0;77SL3800343
0000BF9A;TAPMV4.0;77SL4800087
0000C00F;TAPMV4.0;77SL4800164
0000C065;TAPMV4.0;77SL4800221
0000BFAB;TAPMV4.0;77SL4800104
0000C064;TAPMV4.0;77SL4800220
0000BFCC;TAPMV4.0;77SL4800135
0000C04F;TAPMV4.0;77SL4800002
0000C017;TAPMV4.0;77SL4800174
0000C01B;TAPMV4.0;77SL4800176
0000C05F;TAPMV4.0;77SL4800073
0000C039;TAPMV4.0;77SL4800056
0000C01C;TAPMV4.0;77SL4800175
0000BFCD;TAPMV4.0;77SL4800134
0000BF97;TAPMV4.0;77SL4800019
0000C051;TAPMV4.0;77SL4800004
0000BFBE;TAPMV4.0;77SL4800148
0000BFA4;TAPMV4.0;77SL4800125
0000C01D;TAPMV4.0;77SL4800180
0000C01E;TAPMV4.0;77SL4800179
0000BFC7;TAPMV4.0;77SL4800128
0000BF99;TAPMV4.0;77SL4800086
0000C02D;TAPMV4.0;77SL4800207
0000C008;TAPMV4.0;77SL4800159
0000C035;TAPMV4.0;77SL4800060
0000BFCF;TAPMV4.0;77SL4800138
0000BFA2;TAPMV4.0;77SL4800112
0000BFDB;TAPMV4.0;77SL4800109
0000BFE0;TAPMV4.0;77SL4800144
0000C054;TAPMV4.0;77SL4800007
0000BFB7;TAPMV4.0;77SL4800091
0000BFD9;TAPMV4.0;77SL4800121
0000BFDF;TAPMV4.0;77SL4800100
0000BFD2;TAPMV4.0;77SL4800116
0000C002;TAPMV4.0;77SL4800024
0000C03F;TAPMV4.0;77SL4800047
0000BFCE;TAPMV4.0;77SL4800133
0000BFFE;TAPMV4.0;77SL4800028
0000C036;TAPMV4.0;77SL4800059
0000C062;TAPMV4.0;77SL4800216
0000C05D;TAPMV4.0;77SL4800075
0000C069;TAPMV4.0;77SL4800068
0000BFD0;TAPMV4.0;77SL4800137
0000BFC1;TAPMV4.0;77SL4800097
0000C030;TAPMV4.0;77SL4800210
0000BFF1;TAPMV4.0;77SL4800046
0000BFA9;TAPMV4.0;77SL4800140
0000BFA5;TAPMV4.0;77SL4800124
0000BFA8;TAPMV4.0;77SL4800141
0000BFC8;TAPMV4.0;77SL4800127
0000BFEB;TAPMV4.0;77SL4800040
0000C040;TAPMV4.0;77SL4800048
0000C06C;TAPMV4.0;77SL4800065
0000BF9E;TAPMV4.0;77SL4800084
0000C059;TAPMV4.0;77SL4800081
0000C05A;TAPMV4.0;77SL4800078
0000C028;TAPMV4.0;77SL4800187
0000C003;TAPMV4.0;77SL4800023
0000BF9B;TAPMV4.0;77SL4800090
0000BFE3;TAPMV4.0;77SL4800142
0000BFCB;TAPMV4.0;77SL4800130
0000C00A;TAPMV4.0;77SL4800157
0000BFD6;TAPMV4.0;77SL4800118
0000BFF8;TAPMV4.0;77SL4800038
0000BFF9;TAPMV4.0;77SL4800039
0000C016;TAPMV4.0;77SL4800169
0000C02F;TAPMV4.0;77SL4800211
0000C022;TAPMV4.0;77SL4800181
0000C02E;TAPMV4.0;77SL4800212
0000BFD1;TAPMV4.0;77SL4800117
0000BFE2;TAPMV4.0;77SL4800146
0000BFB4;TAPMV4.0;77SL4800088
0000BF9D;TAPMV4.0;77SL4800083
0000C029;TAPMV4.0;77SL4800192
0000BFDC;TAPMV4.0;77SL4800114
0000C03E;TAPMV4.0;77SL4800052
0000C06D;TAPMV4.0;77SL4800064
0000BFC4;TAPMV4.0;77SL4800016
0000C057;TAPMV4.0;77SL4800010
0000C014;TAPMV4.0;77SL4800166
0000BFF2;TAPMV4.0;77SL4800032
0000C018;TAPMV4.0;77SL4800173
0000BFFD;TAPMV4.0;77SL4800011
0000BF9F;TAPMV4.0;77SL4800145
0000C066;TAPMV4.0;77SL4800071
0000E6A8;TAPMV4.0;77SL4800564
0000E6BF;TAPMV4.0;77SL4800332
0000E6B8;TAPMV4.0;77SL4800404
0000E6A7;TAPMV4.0;77SL4800565
0000E6AF;TAPMV4.0;77SL4800479
0000E6B0;TAPMV4.0;77SL4800484
0000E6B4;TAPMV4.0;77SL4800486
0000E6BB;TAPMV4.0;77SL4800407
0000E66C;TAPMV4.0;77SL4800376
0000E65F;TAPMV4.0;77SL4800443
0000E6F5;TAPMV4.0;77SL4800325
0000E745;TAPMV4.0;77SL4800353
0000E740;TAPMV4.0;77SL4800346
0000E69C;TAPMV4.0;77SL4800463
0000E69B;TAPMV4.0;77SL4800461
0000E744;TAPMV4.0;77SL4800350
0000E644;TAPMV4.0;77SL4800543
