verification_result_id;verification_id;fc;temperature;temperature_min;consumption;consumption_max;ok
4788;2511;922200000;34;30;0.1004862301475071;1;t
4789;2511;922300000;33.5;30;0.1009819345377033;1;t
4790;2511;866300000;33.5;30;0.09987718501392748;1;t
4791;2512;866300000;33.5;30;0.09975377527511822;1;t
4792;2512;922300000;33.5;30;0.0997715896516409;1;t
4793;2513;868130000;34;30;0.09503473429456402;1;t
4794;2514;922300000;34;30;0.09520922552431911;1;t
4795;2515;869525000;34.5;30;0.09491501239402227;1;t
4796;2515;905200000;34.5;30;0.09731990886973203;1;t
4797;2515;922200000;34.5;30;0.09808420247388014;1;t
4798;2515;922300000;34;30;0.09517289612001678;1;t
4799;2515;866300000;34;30;0.09570545216035763;1;t
4800;2516;866300000;34;30;0.0959806749202237;1;t
4801;2516;922300000;34;30;0.0962484666655734;1;t
4802;2521;868130000;34;30;0.09017844416813363;1;t
4803;2522;922300000;34;30;0.09034163205001727;1;t
4804;2523;869525000;34;30;0.09026692259784241;1;t
4805;2523;905200000;34;30;0.09089188118924377;1;t
4806;2523;922200000;33.5;30;0.09068687641262743;1;t
4807;2523;922300000;34;30;0.0904426045519328;1;t
4808;2523;866300000;33.5;30;0.09057850945981406;1;t
4809;2524;866300000;34;30;0.09152933385285185;1;t
4810;2524;922300000;34;30;0.09030389485233167;1;t
4811;2525;868130000;33.5;30;0.09007492185556368;1;t
4812;2526;922300000;33.5;30;0.08935205053503212;1;t
4813;2527;869525000;33.5;30;0.08942854485466509;1;t
4814;2527;905200000;34;30;0.09012132840947434;1;t
4815;2527;922200000;33.5;30;0.08994309664472953;1;t
4816;2527;922300000;33.5;30;0.08931941295865539;1;t
4817;2527;866300000;33.5;30;0.09027865172685282;1;t
4818;2528;866300000;33.5;30;0.08961085631645702;1;t
4819;2528;922300000;33.5;30;0.08958943790695978;1;t
4820;2529;868130000;34.5;30;0.1003728894041237;1;t
4821;2530;922300000;34.5;30;0.0998771850139275;1;t
4822;2531;869525000;34.5;30;0.1003323552430504;1;t
4823;2531;905200000;34.5;30;0.1015323729543171;1;t
4824;2531;922200000;34.5;30;0.1011347767246805;1;t
4825;2531;922300000;34.5;30;0.1002066218899121;1;t
4826;2531;866300000;34.5;30;0.1006424286662929;1;t
4827;2532;866300000;34.5;30;0.1002373452349294;1;t
4828;2532;922300000;34.5;30;0.1004826156363286;1;t
4829;2533;868130000;34;30;0.09974957539382975;1;t
4830;2534;922300000;34;30;0.0996006798807422;1;t
4831;2535;869525000;34;30;0.09929215516693234;1;t
4832;2535;905200000;34;30;0.09888730248716934;1;t
4833;2535;922200000;34;30;0.09915316767319995;1;t
4834;2535;922300000;34;30;0.09847199134253146;1;t
4835;2535;866300000;34;30;0.09917766249882805;1;t
4836;2536;866300000;34;30;0.09991801172286781;1;t
4837;2536;922300000;34;30;0.09871859093537146;1;t
4838;2537;868130000;33.5;30;0.08964680864668449;1;t
4839;2538;922300000;33.5;30;0.08979571758890337;1;t
4840;2539;869525000;33.5;30;0.08954252139091823;1;t
4841;2539;905200000;33.5;30;0.09004177431705605;1;t
4842;2539;922200000;33.5;30;0.08983625957830882;1;t
4843;2539;922300000;33.5;30;0.08967791633666856;1;t
4844;2539;866300000;33.5;30;0.09012897784143763;1;t
4845;2540;866300000;33.5;30;0.08925286290057473;1;t
4846;2540;922300000;33.5;30;0.08963074483956154;1;t
4847;2541;868130000;34.5;30;0.100177705800484;1;t
4848;2542;922300000;34;30;0.1006726356525705;1;t
4849;2543;869525000;34.5;30;0.1002084291455013;1;t
4850;2543;905200000;35;30;0.1008179906378208;1;t
4851;2543;922200000;34.5;30;0.1003739221216033;1;t
4852;2543;922300000;34.5;30;0.1005722038776818;1;t
4853;2543;866300000;34.5;30;0.1006919991053125;1;t
4854;2544;866300000;34.5;30;0.09957356607493228;1;t
4855;2544;922300000;34;30;0.1002791702928522;1;t
4856;2545;868130000;34;30;0.09871996704917077;1;t
4857;2546;922300000;34;30;0.09875492033967374;1;t
4858;2547;869525000;33.5;30;0.09842024946367663;1;t
4859;2547;905200000;34;30;0.09938242823216843;1;t
4860;2547;922200000;34;30;0.09853584302282037;1;t
4861;2547;922300000;33.5;30;0.09886611033465965;1;t
4862;2547;866300000;33.5;30;0.0995472866653282;1;t
4863;2548;866300000;33.5;30;0.09869849967390121;1;t
4864;2548;922300000;34;30;0.09894647538054055;1;t
4865;2549;868130000;34.5;30;0.09967709600225974;1;t
4866;2550;922300000;34.5;30;0.09996883869023979;1;t
4867;2551;869525000;34;30;0.09979327671871199;1;t
4868;2551;905200000;34.5;30;0.09887673995558874;1;t
4869;2551;922200000;34.5;30;0.1013506146779118;1;t
4870;2551;922300000;34.5;30;0.1024463279237414;1;t
4871;2551;866300000;34.5;30;0.1009230696413675;1;t
4872;2552;866300000;34.5;30;0.09953303191385895;1;t
4873;2552;922300000;34.5;30;0.101286844373548;1;t
4874;2553;868130000;34;30;0.08820514570266849;1;t
4875;2554;922300000;34;30;0.08869088463233785;1;t
4876;2555;869525000;34;30;0.08855701957298012;1;t
4877;2555;905200000;34;30;0.08807510535929244;1;t
4878;2555;922200000;34;30;0.08865518728317577;1;t
4879;2555;922300000;34;30;0.08793639565969133;1;t
4880;2555;866300000;34;30;0.08849939385219;1;t
4881;2556;866300000;34;30;0.08804323272611206;1;t
4882;2556;922300000;34;30;0.08808198984805943;1;t
4883;2557;868130000;33.5;30;0.100642948472355;1;t
4884;2558;922300000;33.5;30;0.1010747729825849;1;t
4885;2559;869525000;34.5;30;0.1008920250700339;1;t
4886;2559;905200000;34.5;30;0.1002859845528088;1;t
4887;2559;922200000;34;30;0.1005122176614186;1;t
4888;2559;922300000;34;30;0.1012011002293634;1;t
4889;2559;866300000;34;30;0.1008284486125048;1;t
4890;2560;866300000;34;30;0.1008656036850867;1;t
4891;2560;922300000;33.5;30;0.1004588244460047;1;t
4892;2561;868130000;34;30;0.09931582432428084;1;t
4893;2562;922300000;34;30;0.09896766753305022;1;t
4894;2563;869525000;34;30;0.09923133093700194;1;t
4895;2563;905200000;34;30;0.0988462942959493;1;t
4896;2563;922200000;34;30;0.09917986428090696;1;t
4897;2563;922300000;34;30;0.09990067268899623;1;t
4898;2563;866300000;33.5;30;0.09985773793845713;1;t
4899;2564;866300000;34;30;0.09903757411405624;1;t
4900;2564;922300000;34;30;0.09878932318465702;1;t
4901;2565;868130000;34.5;30;0.09269485230299282;1;t
4902;2566;922300000;33.5;30;0.09262855722597758;1;t
4903;2567;869525000;33.5;30;0.09088933137858934;1;t
4904;2567;905200000;33.5;30;0.09203317643816766;1;t
4905;2567;922200000;33.5;30;0.09219279458513512;1;t
4906;2567;922300000;33.5;30;0.091820522229588;1;t
4907;2567;866300000;34;30;0.09157242565291177;1;t
4908;2568;866300000;34;30;0.09221344805143603;1;t
4909;2568;922300000;34;30;0.09466254118501818;1;t
4910;2569;868130000;35.5;30;0.08947291156005222;1;t
4911;2570;922300000;35;30;0.08983396474871984;1;t
4912;2571;869525000;34.5;30;0.08910879859859931;1;t
4913;2571;905200000;35;30;0.09034724163345706;1;t
4914;2571;922200000;35;30;0.0894734215221831;1;t
4915;2571;922300000;35;30;0.08969627497338048;1;t
4916;2571;866300000;35;30;0.08938366818714708;1;t
4917;2572;866300000;35;30;0.08997114456192828;1;t
4918;2572;922300000;35;30;0.08914475092882679;1;t
4919;2573;868130000;34.5;30;0.09669707976415509;1;t
4920;2574;922300000;34;30;0.0964683696507064;1;t
4921;2575;869525000;33.5;30;0.09584884321824785;1;t
4922;2575;905200000;34;30;0.09760201219859474;1;t
4923;2575;922200000;34;30;0.0985259350034652;1;t
4924;2575;922300000;34;30;0.09620498146951457;1;t
4925;2575;866300000;34.5;30;0.0972899095889066;1;t
4926;2576;866300000;34.5;30;0.09747458406077678;1;t
4927;2576;922300000;34.5;30;0.09762953447458136;1;t
4928;2579;869525000;34.5;30;0.09734504234018264;1;t
4929;2581;868130000;34.5;30;0.09763228670218004;1;t
4930;2582;922300000;34.5;30;0.09810401851259047;1;t
4931;2583;869525000;34.5;30;0.097548068537661;1;t
4932;2583;905200000;34.5;30;0.09733697268084374;1;t
4933;2583;922200000;34.5;30;0.09742752096883969;1;t
4934;2583;922300000;34.5;30;0.09796035223194041;1;t
4935;2583;866300000;34.5;30;0.09893821869774458;1;t
4936;2584;866300000;34.5;30;0.0977087986294228;1;t
4937;2584;922300000;34.5;30;0.09708872175144453;1;t
4938;2585;868130000;35;30;0.1016170557876423;1;t
4939;2586;922300000;34.5;30;0.1029208616056063;1;t
4940;2587;869525000;34;30;0.1018847877942222;1;t
4941;2587;905200000;34;30;0.1019671470132184;1;t
4942;2587;922200000;34.5;30;0.1020977857743846;1;t
4943;2587;922300000;34.5;30;0.101204226975182;1;t
4944;2587;866300000;34.5;30;0.1009638619818108;1;t
4945;2588;866300000;34.5;30;0.1020012266900443;1;t
4946;2588;922300000;35;30;0.1023732631620614;1;t
4947;2589;868130000;35;30;0.09840813966224247;1;t
4948;2590;922300000;34.5;30;0.09971930089024447;1;t
4949;2591;869525000;34.5;30;0.0977687971910736;1;t
4950;2591;905200000;34.5;30;0.1008573470022907;1;t
4951;2591;922200000;34.5;30;0.0995244431762593;1;t
4952;2591;922300000;34.5;30;0.09897399765652715;1;t
4953;2591;866300000;34.5;30;0.09893601691566564;1;t
4954;2592;866300000;35;30;0.09886143154774193;1;t
4955;2592;922300000;35;30;0.09921509279416985;1;t
4956;2593;868130000;34.5;30;0.09744898834410923;1;t
4957;2594;922300000;34.5;30;0.09774705459304418;1;t
4958;2595;869525000;34;30;0.09661726516379392;1;t
4959;2595;905200000;34;30;0.09744045643855337;1;t
4960;2595;922200000;34;30;0.097609718435871;1;t
4961;2595;922300000;34;30;0.09691395529892959;1;t
4962;2595;866300000;34.5;30;0.09706945615825392;1;t
4963;2596;866300000;34.5;30;0.09690349683405466;1;t
4964;2596;922300000;34.5;30;0.09820337392890213;1;t
4965;2597;868130000;35;30;0.09988360887788453;1;t
4966;2598;922300000;34.5;30;0.09901748285258599;1;t
4967;2599;869525000;34.5;30;0.09925747709918922;1;t
4968;2599;905200000;34.5;30;0.09923848672875844;1;t
4969;2599;922200000;34.5;30;0.09921399190313035;1;t
4970;2599;922300000;34.5;30;0.09935545640170151;1;t
4971;2599;866300000;34.5;30;0.09908381153771371;1;t
4972;2600;866300000;35;30;0.09973443814203713;1;t
4973;2600;922300000;35;30;0.09942921610134564;1;t
4974;2601;868130000;35.5;30;0.09778696483526673;1;t
4975;2602;922300000;35;30;0.0983856827940506;1;t
4976;2603;869525000;34;30;0.09852793962686213;1;t
